Marco,Código,Tema / Disclosure,Comentario
ISSB-S1,§31,Gobernanza: supervisión por máximo órgano,IFRS S1
ISSB-S1,§32,Estrategia: recursos asignados,IFRS S1
ISSB-S1,§43-49,Materialidad de información,IFRS S1
ISSB-S1,§62-87,Métricas y objetivos,IFRS S1
ISSB-S2,§10-22,Estrategia climática (riesgos físicos y de transición),IFRS S2
ISSB-S2,§22,Estrategia: planes de transición,IFRS S2
ISSB-S2,§29,Métricas climáticas cross-industry,IFRS S2
ISSB-S2,§33-34,Metas climáticas,IFRS S2
BIC,Gobernanza,Dimensión Gobernanza — Decreto 2046/2019,Reporte anual a Supersociedades
BIC,Trabajadores,Dimensión Trabajadores — Decreto 2046/2019,Reporte anual a Supersociedades
BIC,Comunidad,Dimensión Comunidad — Decreto 2046/2019,Reporte anual a Supersociedades
BIC,Medioambiente,Dimensión Medioambiente — Decreto 2046/2019,Reporte anual a Supersociedades
BIC,Estrategia,Dimensión Misión y Estrategia — Decreto 2046/2019,Reporte anual a Supersociedades
